  PID TTY          TIME CMD
    1 ?        00:00:11 init
    2 ?        00:00:00 kthreadd
    3 ?        00:00:01 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    6 ?        00:00:03 kworker/u16:0
    7 ?        00:00:01 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:01 migration/0
   10 ?        00:00:00 watchdog/0
   11 ?        00:00:00 watchdog/1
   12 ?        00:00:00 migration/1
   13 ?        00:00:00 ksoftirqd/1
   14 ?        00:00:00 kworker/1:0
   15 ?        00:00:00 kworker/1:0H
   16 ?        00:00:00 watchdog/2
   17 ?        00:00:00 migration/2
   18 ?        00:00:00 ksoftirqd/2
   19 ?        00:00:00 kworker/2:0
   20 ?        00:00:00 kworker/2:0H
   21 ?        00:00:00 watchdog/3
   22 ?        00:00:00 migration/3
   23 ?        00:00:00 ksoftirqd/3
   24 ?        00:00:00 kworker/3:0
   25 ?        00:00:00 kworker/3:0H
   26 ?        00:00:00 watchdog/4
   27 ?        00:00:00 migration/4
   28 ?        00:00:00 ksoftirqd/4
   29 ?        00:00:00 kworker/4:0
   30 ?        00:00:00 kworker/4:0H
   31 ?        00:00:00 watchdog/5
   32 ?        00:00:00 migration/5
   33 ?        00:00:00 ksoftirqd/5
   35 ?        00:00:00 kworker/5:0H
   36 ?        00:00:00 watchdog/6
   37 ?        00:00:00 migration/6
   38 ?        00:00:00 ksoftirqd/6
   39 ?        00:00:00 kworker/6:0
   40 ?        00:00:00 kworker/6:0H
   41 ?        00:00:00 watchdog/7
   42 ?        00:00:00 migration/7
   43 ?        00:00:00 ksoftirqd/7
   44 ?        00:00:00 kworker/7:0
   45 ?        00:00:00 kworker/7:0H
   46 ?        00:00:00 khelper
   47 ?        00:00:00 kdevtmpfs
   48 ?        00:00:00 netns
   49 ?        00:00:00 perf
   50 ?        00:00:00 khungtaskd
   51 ?        00:00:00 writeback
   52 ?        00:00:00 ksmd
   53 ?        00:00:00 khugepaged
   54 ?        00:00:00 crypto
   55 ?        00:00:00 kintegrityd
   56 ?        00:00:00 bioset
   57 ?        00:00:00 kblockd
   58 ?        00:00:00 ata_sff
   59 ?        00:00:00 md
   60 ?        00:00:00 devfreq_wq
   61 ?        00:00:01 kworker/u16:1
   62 ?        00:00:01 kworker/0:1
   63 ?        00:00:00 kworker/2:1
   64 ?        00:00:00 kworker/1:1
   66 ?        00:00:00 kswapd0
   67 ?        00:00:00 fsnotify_mark
   68 ?        00:00:00 ecryptfs-kthrea
   80 ?        00:00:00 kthrotld
   81 ?        00:00:00 acpi_thermal_pm
   82 ?        00:00:00 scsi_eh_0
   83 ?        00:00:00 scsi_tmf_0
   84 ?        00:00:00 scsi_eh_1
   85 ?        00:00:00 scsi_tmf_1
   87 ?        00:00:00 ipv6_addrconf
  107 ?        00:00:00 deferwq
  108 ?        00:00:00 charger_manager
  163 ?        00:00:00 kworker/0:2
  169 ?        00:00:00 kworker/5:1
  170 ?        00:00:01 kworker/7:1
  171 ?        00:00:00 kworker/3:1
  172 ?        00:00:00 kpsmoused
  173 ?        00:00:00 kworker/4:1
  174 ?        00:00:00 kworker/2:1H
  175 ?        00:00:00 kworker/5:2
  176 ?        00:00:00 kworker/6:1
  177 ?        00:00:00 scsi_eh_2
  178 ?        00:00:00 scsi_tmf_2
  188 ?        00:00:00 jbd2/sda1-8
  189 ?        00:00:00 ext4-rsv-conver
  311 ?        00:00:00 upstart-udev-br
  317 ?        00:00:02 systemd-udevd
  351 ?        00:00:00 kworker/0:1H
  429 ?        00:00:00 kworker/3:1H
  430 ?        00:00:00 kworker/7:1H
  433 ?        00:00:00 kworker/5:1H
  434 ?        00:00:00 kworker/4:1H
  436 ?        00:00:00 kworker/1:1H
  438 ?        00:00:00 kworker/6:1H
  493 ?        00:00:00 upstart-file-br
  497 ?        00:00:00 iprt-VBoxWQueue
